agency_id,agency_name,agency_url,agency_timezone,agency_phone,agency_fare_url,agency_lang
94,Josephine Community Transit,http://www.co.josephine.or.us/SectionIndex.asp?SectionID=164,America/Los_Angeles,541-474-5452 x2,,en
225,Rogue Valley Commuter Line,http://www.co.josephine.or.us/page.asp?navid=1718,America/Los_Angeles,541-474-5452,,en
